crop,state,time,maxTemp,minTemp,rainAmt
Wheat,NJ,1,39,24,3.5
Wheat,NJ,2,42,27,2.87
Wheat,NJ,3,51,34,4.17
Wheat,NJ,4,62,44,4.17
Wheat,NJ,5,72,53,4.06
Wheat,NJ,6,82,63,4.02
Wheat,NJ,7,86,69,4.72
Wheat,NJ,8,84,67,3.7
Wheat,NJ,9,77,60,3.82
Wheat,NJ,10,65,48,3.58
Wheat,NJ,11,55,39,3.62
Wheat,NJ,12,44,30,3.78
Rice,NJ,1,39,24,3.5
Rice,NJ,2,42,27,2.87
Rice,NJ,3,51,34,4.17
Rice,NJ,4,62,44,4.17
Rice,NJ,5,72,53,4.06
Rice,NJ,6,82,63,4.02
Rice,NJ,7,86,69,4.72
Rice,NJ,8,84,67,3.7
Rice,NJ,9,77,60,3.82
Rice,NJ,10,65,48,3.58
Rice,NJ,11,55,39,3.62
Rice,NJ,12,44,30,3.78
Corn,NJ,1,39,24,3.5
Corn,NJ,2,42,27,2.87
Corn,NJ,3,51,34,4.17
Corn,NJ,4,62,44,4.17
Corn,NJ,5,72,53,4.06
Corn,NJ,6,82,63,4.02
Corn,NJ,7,86,69,4.72
Corn,NJ,8,84,67,3.7
Corn,NJ,9,77,60,3.82
Corn,NJ,10,65,48,3.58
Corn,NJ,11,55,39,3.62
Corn,NJ,12,44,30,3.78
Tomatoes,NJ,1,39,24,3.5
Tomatoes,NJ,2,42,27,2.87
Tomatoes,NJ,3,51,34,4.17
Tomatoes,NJ,4,62,44,4.17
Tomatoes,NJ,5,72,53,4.06
Tomatoes,NJ,6,82,63,4.02
Tomatoes,NJ,7,86,69,4.72
Tomatoes,NJ,8,84,67,3.7
Tomatoes,NJ,9,77,60,3.82
Tomatoes,NJ,10,65,48,3.58
Tomatoes,NJ,11,55,39,3.62
Tomatoes,NJ,12,44,30,3.78
Lettuce,NJ,1,39,24,3.5
Lettuce,NJ,2,42,27,2.87
Lettuce,NJ,3,51,34,4.17
Lettuce,NJ,4,62,44,4.17
Lettuce,NJ,5,72,53,4.06
Lettuce,NJ,6,82,63,4.02
Lettuce,NJ,7,86,69,4.72
Lettuce,NJ,8,84,67,3.7
Lettuce,NJ,9,77,60,3.82
Lettuce,NJ,10,65,48,3.58
Lettuce,NJ,11,55,39,3.62
Lettuce,NJ,12,44,30,3.78
Berries,NJ,1,39,24,3.5
Berries,NJ,2,42,27,2.87
Berries,NJ,3,51,34,4.17
Berries,NJ,4,62,44,4.17
Berries,NJ,5,72,53,4.06
Berries,NJ,6,82,63,4.02
Berries,NJ,7,86,69,4.72
Berries,NJ,8,84,67,3.7
Berries,NJ,9,77,60,3.82
Berries,NJ,10,65,48,3.58
Berries,NJ,11,55,39,3.62
Berries,NJ,12,44,30,3.78
Oats,NJ,1,39,24,3.5
Oats,NJ,2,42,27,2.87
Oats,NJ,3,51,34,4.17
Oats,NJ,4,62,44,4.17
Oats,NJ,5,72,53,4.06
Oats,NJ,6,82,63,4.02
Oats,NJ,7,86,69,4.72
Oats,NJ,8,84,67,3.7
Oats,NJ,9,77,60,3.82
Oats,NJ,10,65,48,3.58
Oats,NJ,11,55,39,3.62
Oats,NJ,12,44,30,3.78
Apples,NJ,1,39,24,3.5
Apples,NJ,2,42,27,2.87
Apples,NJ,3,51,34,4.17
Apples,NJ,4,62,44,4.17
Apples,NJ,5,72,53,4.06
Apples,NJ,6,82,63,4.02
Apples,NJ,7,86,69,4.72
Apples,NJ,8,84,67,3.7
Apples,NJ,9,77,60,3.82
Apples,NJ,10,65,48,3.58
Apples,NJ,11,55,39,3.62
Apples,NJ,12,44,30,3.78
Citrus,NJ,1,39,24,3.5
Citrus,NJ,2,42,27,2.87
Citrus,NJ,3,51,34,4.17
Citrus,NJ,4,62,44,4.17
Citrus,NJ,5,72,53,4.06
Citrus,NJ,6,82,63,4.02
Citrus,NJ,7,86,69,4.72
Citrus,NJ,8,84,67,3.7
Citrus,NJ,9,77,60,3.82
Citrus,NJ,10,65,48,3.58
Citrus,NJ,11,55,39,3.62
Citrus,NJ,12,44,30,3.78
Wheat,NY,1,39,26,3.9
Wheat,NY,2,42,29,2.95
Wheat,NY,3,50,35,4.06
Wheat,NY,4,60,44,3.95
Wheat,NY,5,71,55,4.45
Wheat,NY,6,79,64,3.5
Wheat,NY,7,85,70,4.53
Wheat,NY,8,83,69,4.13
Wheat,NY,9,76,61,3.98
Wheat,NY,10,65,50,3.39
Wheat,NY,11,54,41,3.82
Wheat,NY,12,44,32,3.58
Rice,NY,1,39,26,3.9
Rice,NY,2,42,29,2.95
Rice,NY,3,50,35,4.06
Rice,NY,4,60,44,3.95
Rice,NY,5,71,55,4.45
Rice,NY,6,79,64,3.5
Rice,NY,7,85,70,4.53
Rice,NY,8,83,69,4.13
Rice,NY,9,76,61,3.98
Rice,NY,10,65,50,3.39
Rice,NY,11,54,41,3.82
Rice,NY,12,44,32,3.58
Corn,NY,1,39,26,3.9
Corn,NY,2,42,29,2.95
Corn,NY,3,50,35,4.06
Corn,NY,4,60,44,3.95
Corn,NY,5,71,55,4.45
Corn,NY,6,79,64,3.5
Corn,NY,7,85,70,4.53
Corn,NY,8,83,69,4.13
Corn,NY,9,76,61,3.98
Corn,NY,10,65,50,3.39
Corn,NY,11,54,41,3.82
Corn,NY,12,44,32,3.58
Tomatoes,NY,1,39,26,3.9
Tomatoes,NY,2,42,29,2.95
Tomatoes,NY,3,50,35,4.06
Tomatoes,NY,4,60,44,3.95
Tomatoes,NY,5,71,55,4.45
Tomatoes,NY,6,79,64,3.5
Tomatoes,NY,7,85,70,4.53
Tomatoes,NY,8,83,69,4.13
Tomatoes,NY,9,76,61,3.98
Tomatoes,NY,10,65,50,3.39
Tomatoes,NY,11,54,41,3.82
Tomatoes,NY,12,44,32,3.58
Lettuce,NY,1,39,26,3.9
Lettuce,NY,2,42,29,2.95
Lettuce,NY,3,50,35,4.06
Lettuce,NY,4,60,44,3.95
Lettuce,NY,5,71,55,4.45
Lettuce,NY,6,79,64,3.5
Lettuce,NY,7,85,70,4.53
Lettuce,NY,8,83,69,4.13
Lettuce,NY,9,76,61,3.98
Lettuce,NY,10,65,50,3.39
Lettuce,NY,11,54,41,3.82
Lettuce,NY,12,44,32,3.58
Berries,NY,1,39,26,3.9
Berries,NY,2,42,29,2.95
Berries,NY,3,50,35,4.06
Berries,NY,4,60,44,3.95
Berries,NY,5,71,55,4.45
Berries,NY,6,79,64,3.5
Berries,NY,7,85,70,4.53
Berries,NY,8,83,69,4.13
Berries,NY,9,76,61,3.98
Berries,NY,10,65,50,3.39
Berries,NY,11,54,41,3.82
Berries,NY,12,44,32,3.58
Oats,NY,1,39,26,3.9
Oats,NY,2,42,29,2.95
Oats,NY,3,50,35,4.06
Oats,NY,4,60,44,3.95
Oats,NY,5,71,55,4.45
Oats,NY,6,79,64,3.5
Oats,NY,7,85,70,4.53
Oats,NY,8,83,69,4.13
Oats,NY,9,76,61,3.98
Oats,NY,10,65,50,3.39
Oats,NY,11,54,41,3.82
Oats,NY,12,44,32,3.58
Apples,NY,1,39,26,3.9
Apples,NY,2,42,29,2.95
Apples,NY,3,50,35,4.06
Apples,NY,4,60,44,3.95
Apples,NY,5,71,55,4.45
Apples,NY,6,79,64,3.5
Apples,NY,7,85,70,4.53
Apples,NY,8,83,69,4.13
Apples,NY,9,76,61,3.98
Apples,NY,10,65,50,3.39
Apples,NY,11,54,41,3.82
Apples,NY,12,44,32,3.58
Citrus,NY,1,39,26,3.9
Citrus,NY,2,42,29,2.95
Citrus,NY,3,50,35,4.06
Citrus,NY,4,60,44,3.95
Citrus,NY,5,71,55,4.45
Citrus,NY,6,79,64,3.5
Citrus,NY,7,85,70,4.53
Citrus,NY,8,83,69,4.13
Citrus,NY,9,76,61,3.98
Citrus,NY,10,65,50,3.39
Citrus,NY,11,54,41,3.82
Citrus,NY,12,44,32,3.58
Wheat,PA,1,40,26,3.03
Wheat,PA,2,44,28,2.64
Wheat,PA,3,53,34,3.78
Wheat,PA,4,64,44,3.54
Wheat,PA,5,74,54,3.7
Wheat,PA,6,83,64,3.43
Wheat,PA,7,87,69,4.33
Wheat,PA,8,85,68,3.5
Wheat,PA,9,78,60,3.78
Wheat,PA,10,67,48,3.19
Wheat,PA,11,56,39,2.99
Wheat,PA,12,45,30,3.54
Rice,PA,1,40,26,3.03
Rice,PA,2,44,28,2.64
Rice,PA,3,53,34,3.78
Rice,PA,4,64,44,3.54
Rice,PA,5,74,54,3.7
Rice,PA,6,83,64,3.43
Rice,PA,7,87,69,4.33
Rice,PA,8,85,68,3.5
Rice,PA,9,78,60,3.78
Rice,PA,10,67,48,3.19
Rice,PA,11,56,39,2.99
Rice,PA,12,45,30,3.54
Corn,PA,1,40,26,3.03
Corn,PA,2,44,28,2.64
Corn,PA,3,53,34,3.78
Corn,PA,4,64,44,3.54
Corn,PA,5,74,54,3.7
Corn,PA,6,83,64,3.43
Corn,PA,7,87,69,4.33
Corn,PA,8,85,68,3.5
Corn,PA,9,78,60,3.78
Corn,PA,10,67,48,3.19
Corn,PA,11,56,39,2.99
Corn,PA,12,45,30,3.54
Tomatoes,PA,1,40,26,3.03
Tomatoes,PA,2,44,28,2.64
Tomatoes,PA,3,53,34,3.78
Tomatoes,PA,4,64,44,3.54
Tomatoes,PA,5,74,54,3.7
Tomatoes,PA,6,83,64,3.43
Tomatoes,PA,7,87,69,4.33
Tomatoes,PA,8,85,68,3.5
Tomatoes,PA,9,78,60,3.78
Tomatoes,PA,10,67,48,3.19
Tomatoes,PA,11,56,39,2.99
Tomatoes,PA,12,45,30,3.54
Lettuce,PA,1,40,26,3.03
Lettuce,PA,2,44,28,2.64
Lettuce,PA,3,53,34,3.78
Lettuce,PA,4,64,44,3.54
Lettuce,PA,5,74,54,3.7
Lettuce,PA,6,83,64,3.43
Lettuce,PA,7,87,69,4.33
Lettuce,PA,8,85,68,3.5
Lettuce,PA,9,78,60,3.78
Lettuce,PA,10,67,48,3.19
Lettuce,PA,11,56,39,2.99
Lettuce,PA,12,45,30,3.54
Berries,PA,1,40,26,3.03
Berries,PA,2,44,28,2.64
Berries,PA,3,53,34,3.78
Berries,PA,4,64,44,3.54
Berries,PA,5,74,54,3.7
Berries,PA,6,83,64,3.43
Berries,PA,7,87,69,4.33
Berries,PA,8,85,68,3.5
Berries,PA,9,78,60,3.78
Berries,PA,10,67,48,3.19
Berries,PA,11,56,39,2.99
Berries,PA,12,45,30,3.54
Oats,PA,1,40,26,3.03
Oats,PA,2,44,28,2.64
Oats,PA,3,53,34,3.78
Oats,PA,4,64,44,3.54
Oats,PA,5,74,54,3.7
Oats,PA,6,83,64,3.43
Oats,PA,7,87,69,4.33
Oats,PA,8,85,68,3.5
Oats,PA,9,78,60,3.78
Oats,PA,10,67,48,3.19
Oats,PA,11,56,39,2.99
Oats,PA,12,45,30,3.54
Apples,PA,1,40,26,3.03
Apples,PA,2,44,28,2.64
Apples,PA,3,53,34,3.78
Apples,PA,4,64,44,3.54
Apples,PA,5,74,54,3.7
Apples,PA,6,83,64,3.43
Apples,PA,7,87,69,4.33
Apples,PA,8,85,68,3.5
Apples,PA,9,78,60,3.78
Apples,PA,10,67,48,3.19
Apples,PA,11,56,39,2.99
Apples,PA,12,45,30,3.54
Citrus,PA,1,40,26,3.03
Citrus,PA,2,44,28,2.64
Citrus,PA,3,53,34,3.78
Citrus,PA,4,64,44,3.54
Citrus,PA,5,74,54,3.7
Citrus,PA,6,83,64,3.43
Citrus,PA,7,87,69,4.33
Citrus,PA,8,85,68,3.5
Citrus,PA,9,78,60,3.78
Citrus,PA,10,67,48,3.19
Citrus,PA,11,56,39,2.99
Citrus,PA,12,45,30,3.54
